Candidate_id,Candidate,Constituency,Party,Age,Gender,Criminal_Cases,Serious_Criminal_Cases,Education,Total_Assets,liabilities,category
193,Raja Venkatappa Naik,SHORAPUR (ST),INC,66,MALE,6,Yes,12th Pass,232952188,7930000,ST
194,C N Balakrishna,SHRAVANABELAGOLA,JD(S),54,MALE,0,No,Graduate,94997930,37251174,GENERAL
195,A.B. Ramesha Bandisiddegowda,SHRIRANGAPATTANA,INC,54,MALE,2,Yes,12th Pass,159288753,19706800,GENERAL
196,B N Ravikumar,SIDLAGHATTA,JD(S),54,MALE,0,No,5th Pass,22565901,20000,GENERAL
197,Ashok Mallappa Managuli,SINDGI,INC,73,MALE,1,No,Graduate,74598335,38379776,GENERAL
198,Hampanagouda Badarli,SINDHANUR,INC,74,MALE,1,Yes,Graduate,94013248,26484062,GENERAL
199,T B Jayachandra,SIRA,INC,66,MALE,6,No,Graduate Professional,396849065,20534123,GENERAL
200,B. M. Nagaraja,SIRAGUPPA (ST),INC,51,MALE,0,No,8th Pass,92962608,0,ST
201,Bhimanna T. Naik,SIRSI,INC,57,MALE,0,No,5th Pass,1229747533,692349549,GENERAL
202,Madhu Bangarappa,SORAB,INC,63,MALE,2,No,Graduate,695121427,260467000,GENERAL
203,T.D.Rajegowda,SRINGERI,INC,76,MALE,0,No,Graduate,328053245,46249441,GENERAL
204,G.K. Venkatashivareddy,SRINIVASAPUR,JD(S),56,MALE,1,No,Graduate Professional,158277352,25000,GENERAL
205,Bhagirathi Murulya,SULLIA (SC),BJP,48,FEMALE,0,No,10th Pass,2825628,227500,SC
206,Dr. H C Mahadevappa,T. NARASIPUR (SC),INC,70,MALE,2,No,Graduate Professional,38217051,4431900,SC
207,G.H. Srinivasa,TARIKERE,INC,56,MALE,0,No,Graduate Professional,157002688,9523404,GENERAL
208,Siddu Savadi,TERDAL,BJP,63,MALE,2,Yes,10th Pass,138276813,56814596,GENERAL
209,K Shadakshari,TIPTUR,INC,74,MALE,0,No,Graduate,105683460,47809263,GENERAL
210,Araga Jnanendra,TIRTHAHALLI,BJP,70,MALE,0,No,Graduate,62858539,600000,GENERAL
211,G B Jyothi Ganesh,TUMKUR CITY,BJP,47,MALE,0,No,Graduate Professional,345946757,72584713,GENERAL
212,B.Suresh Gowda,TUMKUR RURAL,BJP,58,MALE,2,Yes,Graduate,139740978,9700000,GENERAL
213,M.T.Krishnappa,TURUVEKERE,JD(S),71,MALE,8,Yes,Graduate,21421690,115000,GENERAL
214,Yashpal,UDUPI,BJP,44,MALE,1,Yes,12th Pass,69526672,28534604,GENERAL
215,Siddaramaiah,VARUNA,INC,75,MALE,13,Yes,Graduate Professional,519388910,237650976,GENERAL
216,M Krishnappa,VIJAYANAGAR,INC,71,MALE,1,Yes,Graduate,2962656915,771806410,GENERAL
217,H.R.Gaviyappa,VIJAYANAGARA,INC,60,MALE,1,Yes,10th Pass,485349735,1517913,GENERAL
218,A.S.Ponnanna,VIRAJPET,INC,48,MALE,0,No,Graduate Professional,303406891,46374990,GENERAL
219,Channareddy Patil Tunnur,YADGIR,INC,75,MALE,0,No,12th Pass,111827390,6745746,GENERAL
220,S R Vishwanath,YELAHANKA,BJP,60,MALE,2,No,Graduate,635856313,7765280,GENERAL
221,Basavaraj Rayareddi,YELBURGA,INC,67,MALE,0,No,Graduate Professional,436418121,45000000,GENERAL
222,Arabail Hebbar Shivaram,YELLAPUR,BJP,65,MALE,1,Yes,10th Pass,212788863,23156381,GENERAL
223,Satish Laxmanrao Jarkiholi,YEMKANAMARDI (ST),INC,60,MALE,2,No,12th Pass,1752983696,122944348,ST
224,S.T. Somashekar,YESHWANTHAPURA,BJP,65,MALE,1,Yes,Graduate,278815551,31433690,GENERAL
